ticker_observado,emissor_id,setor,subsetor,segmento,fonte,data_fonte,evidencia,estabilidade_documentada,validade_inicio,validade_fim,confianca,status_revisao
BRDT3,BRDT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Distribuição de Combustíveis,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24295/VBBR/overview?language=pt-br,2026-08-07,página oficial B3 vincula o ticker ao código CVM 24295 e ao grupo registrado; FCA/CVM revisada,sim,2017-12-15,2021-10-21,alta,confirmado
BRFS3,BRFS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=BRFS; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-09-22,alta,confirmado
BRKM5,BRKM,Materiais Básicos,Químicos,Petroquímicos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BRKM; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BRML3,BRML,Financeiro,Exploração de Imóveis,Exploração de Imóveis,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=BRML; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2023-01-06,alta,confirmado
BRPR3,BRPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=BRPR; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2023-10-19,alta,confirmado
BRSR6,BRSR,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BRSR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BTOW3,BTOW,Consumo Cíclico,Comércio Varejista,Produtos Diversos,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra BTOW3 em Consumo Cíclico / Comércio Varejista / Produtos Diversos; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2021-07-16,alta,confirmado
BVMF3,BVMF,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,https://repositorio.ufpb.br/jspui/bitstream/123456789/1880/1/GKBG30082017.pdf | https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra BVMF3 em Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2018-03-23,alta,confirmado
CASH3,CASH,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CASH; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-11-05,2026-07-27,alta,confirmado
CBAV3,CBAV,Materiais Básicos,Mineração,Minerais Metálicos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CBAV; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-07-15,2026-07-27,alta,confirmado
CCRO3,CCRO,Bens Industriais,Transporte,Exploração de Rodovias,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=CCRO; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-04-30,alta,confirmado
CEAB3,CEAB,Consumo Cíclico,Comércio Varejista,"Tecidos, Vestuário e Calçados",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CEAB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2019-10-28,2026-07-27,alta,confirmado
CESP6,CESP,Utilidade Pública,Energia Elétrica,Energia Elétrica,https://www.fundamentus.com.br/detalhes.php?papel=CESP6,2026-08-07,documento indicado registra CESP6 em Utilidade Pública / Energia Elétrica / Energia Elétrica; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2022-03-25,alta,confirmado
CIEL3,CIEL,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=CIEL; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2024-08-26,alta,confirmado
CMIG3,CMIG,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CMIG; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CMIG4,CMIG,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CMIG; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CMIN3,CMIN,Materiais Básicos,Mineração,Minerais Metálicos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CMIN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-02-18,2026-07-27,alta,confirmado
CNTO3,CNTO,Consumo Cíclico,Comércio Varejista,Produtos Diversos,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24694/CODBOLSA/overview?language=pt-br,2026-08-07,documento indicado registra CNTO3 em Consumo Cíclico / Comércio Varejista / Produtos Diversos; identidade e atividade reconciliadas com FCA/CVM,sim,2019-04-17,2021-03-30,alta,confirmado
