ticker_observado,emissor_id,setor,subsetor,segmento,fonte,data_fonte,evidencia,estabilidade_documentada,validade_inicio,validade_fim,confianca,status_revisao
IGTA3,IGTA,Financeiro,Exploração de Imóveis,Exploração de Imóveis,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20494/IGTA/overview?language=pt-br,2026-08-07,documento indicado registra IGTA3 em Financeiro / Exploração de Imóveis / Exploração de Imóveis; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2021-11-19,alta,confirmado
IGTI11,IGTI,Financeiro,Exploração de Imóveis,Exploração de Imóveis,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=IGTI; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-11-22,2026-07-27,alta,confirmado
INTB3,INTB,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=INTB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-02-04,2026-07-27,alta,confirmado
IRBR3,IRBR,Financeiro,Previdência e Seguros,Resseguradoras,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=IRBR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2017-07-31,2026-07-27,alta,confirmado
ITSA4,ITSA,Financeiro,Intermediários Financeiros,Bancos,https://bvmf.bmfbovespa.com.br/InstDados/InformacoesEmpresas/ClassifSetorial.zip | https://www.fundamentus.com.br/detalhes.php?papel=itsa4,2026-07-23,B3 15/09/2022 e página com última cotação em 23/07/2026 registram Bancos; mudança posterior está interval-censored,sim,2015-01-02,2026-07-23,media,confirmado
ITSA4,ITSA,,,,https://www.fundamentus.com.br/detalhes.php?papel=itsa4 | https://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/acoes/consultas/classificacao-setorial/,2026-08-07,última evidência de Bancos em 23/07/2026 e primeira observação de Holdings em 07/08/2026; 24-27/07 permanece sem classificação demonstrável,nao,2026-07-24,2026-07-27,baixa,evidencia_insuficiente
ITUB3,ITUB,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ITUB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
ITUB4,ITUB,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ITUB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
JBSS3,JBSS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=JBSS; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-06-06,alta,confirmado
JHSF3,JHSF,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=JHSF; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
KLBN11,KLBN,Materiais Básicos,Madeira e Papel,Papel e Celulose,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=KLBN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
KROT3,KROT,Consumo Cíclico,Diversos,Serviços Educacionais,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra KROT3 em Consumo Cíclico / Diversos / Serviços Educacionais; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2019-10-10,alta,confirmado
LAME3,LAME,Consumo Cíclico,Comércio Varejista,Produtos Diversos,https://www.fundamentus.com.br/detalhes.php?papel=LAME3,2026-08-07,documento indicado registra LAME3 em Consumo Cíclico / Comércio Varejista / Produtos Diversos; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2022-01-21,alta,confirmado
LAME4,LAME,Consumo Cíclico,Comércio Varejista,Produtos Diversos,https://www.fundamentus.com.br/detalhes.php?papel=LAME4,2026-08-07,documento indicado registra LAME4 em Consumo Cíclico / Comércio Varejista / Produtos Diversos; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2022-01-21,alta,confirmado
LCAM3,LCAM,Consumo Cíclico,Diversos,Aluguel de carros,https://www.fundamentus.com.br/detalhes.php?papel=LCAM3,2026-08-07,documento indicado registra LCAM3 em Consumo Cíclico / Diversos / Aluguel de carros; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2022-07-01,alta,confirmado
LEVE3,LEVE,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=LEVE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
LIGT3,LIGT,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=LIGT; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2023-05-12,alta,confirmado
LINX3,LINX,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,https://www.fundamentus.com.br/detalhes.php?papel=LINX3,2026-08-07,documento indicado registra LINX3 em Tecnologia da Informação / Programas e Serviços / Programas e Serviços; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2021-06-25,alta,confirmado
LJQQ3,LJQQ,Consumo Cíclico,Comércio Varejista,Produtos Diversos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=LJQQ; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-08-10,2026-07-27,alta,confirmado
LREN3,LREN,Consumo Cíclico,Comércio Varejista,"Tecidos, Vestuário e Calçados",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=LREN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
LWSA3,LWSA,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=LWSA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-02-06,2026-07-27,alta,confirmado
MDIA3,MDIA,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=MDIA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
MGLU3,MGLU,Consumo Cíclico,Comércio Varejista,Eletrodomésticos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=MGLU; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
MOVI3,MOVI,Consumo Cíclico,Diversos,Aluguel de carros,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=MOVI; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2017-02-08,2026-07-27,alta,confirmado
MPLU3,MPLU,Consumo Cíclico,Diversos,Programas de Fidelização,https://www.b3.com.br/data/files/2E/B0/30/A9/8660371085446037AC094EA8/Edital%20da%20OPA%20da%20Multiplus%20-%20Versao%20Final%20Marcada.pdf,2026-08-07,documento indicado registra MPLU3 em Consumo Cíclico / Diversos / Programas de Fidelização; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2019-04-22,alta,confirmado
MRFG3,MRFG,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=MRFG; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-09-22,alta,confirmado
MRVE3,MRVE,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=MRVE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
MULT3,MULT,Financeiro,Exploração de Imóveis,Exploração de Imóveis,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=MULT; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
MYPK3,MYPK,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=MYPK; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
NATU3,NATU,Consumo não Cíclico,Produtos de Cuidado Pessoal e de Limpeza,Produtos de Cuidado Pessoal,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=NATU; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
NEOE3,NEOE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=NEOE; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2019-07-01,2026-05-04,alta,confirmado
NTCO3,NTCO,Consumo não Cíclico,Produtos de Cuidado Pessoal e de Limpeza,Produtos de Cuidado Pessoal,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=NTCO; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2019-12-18,2025-07-01,alta,confirmado
ODPV3,ODPV,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ODPV; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2026-05-04,alta,confirmado
ONCO3,ONCO,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ONCO; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-08-10,2026-07-14,alta,confirmado
ORVR3,ORVR,Utilidade Pública,Água e Saneamento,Água e Saneamento,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ORVR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-02-17,2026-07-27,alta,confirmado
PARD3,PARD,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=PARD; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2017-02-14,2023-04-28,alta,confirmado
PCAR3,PCAR,Consumo não Cíclico,Comércio e Distribuição,Alimentos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=PCAR; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-06-30,2026-03-10,alta,confirmado
PCAR4,PCAR,Consumo não Cíclico,Comércio e Distribuição,Alimentos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=PCAR; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2020-02-28,alta,confirmado
PETR3,PETR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=PETR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
PETR4,PETR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=PETR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
PETZ3,PETZ,Consumo Cíclico,Comércio Varejista,Produtos Diversos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=PETZ; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2020-09-11,2026-01-02,alta,confirmado
POMO4,POMO,Bens Industriais,Material de Transporte,Material Rodoviário,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=POMO; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
POSI3,POSI,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=POSI; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
PRIO3,PRIO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=PRIO; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-06-26,2026-07-27,alta,confirmado
PSSA3,PSSA,Financeiro,Previdência e Seguros,Seguradoras,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=PSSA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
QGEP3,QGEP,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",https://repositorio.fgv.br/bitstreams/e8be729b-3631-4249-8b07-4cdb72474df1/download,2026-08-07,"documento indicado registra QGEP3 em Petróleo, Gás e Biocombustíveis / Petróleo, Gás e Biocombustíveis / Exploração, Refino e Distribuição; identidade e atividade reconciliadas com FCA/CVM",sim,2015-01-02,2019-04-23,alta,confirmado
QUAL3,QUAL,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=QUAL; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
RADL3,RADL,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=RADL; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
RAIL3,RAIL,Bens Industriais,Transporte,Transporte Ferroviário,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=RAIL; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2017-03-13,2026-07-27,alta,confirmado
RAIZ4,RAIZ,Consumo não Cíclico,Agropecuária,Agricultura,https://bvmf.bmfbovespa.com.br/InstDados/InformacoesEmpresas/ClassifSetorial.zip | https://www.infomoney.com.br/onde-investir/onde-investir-data-com-confira-as-datas-de-corte-para-investir-em-acoes-em-julho-2023-e-ganhar-com-dividendos/,2023-07-10,Agricultura confirmada em 2022 e 10/07/2023; fronteira interval-censored; convenção anual independente dos retornos,nao,2021-08-05,2023-12-31,media,confirmado
RAIZ4,RAIZ,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",https://revistas.unicentro.br/index.php/capitalcientifico/article/view/7932/html | https://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/acoes/consultas/classificacao-setorial/,2024-03-27,base B3 de 27/03/2024 e snapshot atual em Petróleo; convenção de início 01/01/2024,nao,2024-01-01,2026-03-11,media,confirmado
RAPT4,RAPT,Bens Industriais,Material de Transporte,Material Rodoviário,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=RAPT; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
RDOR3,RDOR,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=RDOR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-12-10,2026-07-27,alta,confirmado
RECV3,RECV,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=RECV; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-05-05,2026-07-27,alta,confirmado
RENT3,RENT,Consumo Cíclico,Diversos,Aluguel de carros,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=RENT; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
RRRP3,RRRP,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=RRRP; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2020-11-12,2024-09-06,alta,confirmado
RUMO3,RUMO,Bens Industriais,Transporte,Transporte Ferroviário,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra RUMO3 em Bens Industriais / Transporte / Transporte Ferroviário; identidade e atividade reconciliadas com FCA/CVM,sim,2015-04-01,2017-03-10,alta,confirmado
SANB11,SANB,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SANB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
SAPR11,SAPR,Utilidade Pública,Água e Saneamento,Água e Saneamento,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SAPR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2017-11-22,2026-07-27,alta,confirmado
SAPR4,SAPR,Utilidade Pública,Água e Saneamento,Água e Saneamento,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SAPR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
SBFG3,SBFG,Consumo Cíclico,Comércio Varejista,Produtos Diversos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SBFG; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-03-31,2026-07-27,alta,confirmado
SBSP3,SBSP,Utilidade Pública,Água e Saneamento,Água e Saneamento,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SBSP; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
SEER3,SEER,Consumo Cíclico,Diversos,Serviços Educacionais,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SEER; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
SIMH3,SIMH,Financeiro,Holdings Diversificadas,Holdings Diversificadas,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SIMH; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-09-18,2026-07-27,alta,confirmado
SLCE3,SLCE,Consumo não Cíclico,Agropecuária,Agricultura,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SLCE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
SMFT3,SMFT,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SMFT; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-07-14,2026-07-27,alta,confirmado
SMLE3,SMLE,Consumo Cíclico,Diversos,Programas de Fidelização,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,fotografia da lista B3 de 21/12/2016 registra SMLE3 em Programas de Fidelização; FCA/CVM revisada,sim,2015-01-02,2017-10-20,media,confirmado
SMLS3,SMLS,Consumo Cíclico,Diversos,Programas de Fidelização,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24252/CODBOLSA/overview?language=pt-br,2026-08-07,documento indicado registra SMLS3 em Consumo Cíclico / Diversos / Programas de Fidelização; identidade e atividade reconciliadas com FCA/CVM,sim,2017-10-23,2021-06-04,alta,confirmado
SMTO3,SMTO,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SMTO; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
SOMA3,SOMA,Consumo Cíclico,Comércio Varejista,"Tecidos, Vestuário e Calçados",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=SOMA; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2020-07-31,2024-07-31,alta,confirmado
STBP3,STBP,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=STBP; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2016-08-22,2025-10-02,alta,confirmado
SULA11,SULA,Financeiro,Previdência e Seguros,Seguradoras,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=SULA; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2022-12-23,alta,confirmado
SUZB3,SUZB,Materiais Básicos,Madeira e Papel,Papel e Celulose,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=SUZB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2017-11-10,2026-07-27,alta,confirmado
SUZB5,SUZB,Materiais Básicos,Madeira e Papel,Papel e Celulose,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=SUZB; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2017-11-09,alta,confirmado
TAEE11,TAEE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TAEE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
TASA4,TASA,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TASA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2019-11-12,2026-07-27,alta,confirmado
TEND3,TEND,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TEND; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2017-05-04,2026-07-27,alta,confirmado
TGMA3,TGMA,Bens Industriais,Transporte,Transporte Rodoviário,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TGMA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
TIET11,TIET,Utilidade Pública,Energia Elétrica,Energia Elétrica,https://www.fundamentus.com.br/detalhes.php?papel=TIET11,2026-08-07,documento indicado registra TIET11 em Utilidade Pública / Energia Elétrica / Energia Elétrica; identidade e atividade reconciliadas com FCA/CVM,sim,2016-01-04,2021-03-26,alta,confirmado
TIMP3,TIMP,Comunicações,Telecomunicações,Telecomunicações,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra TIMP3 em Comunicações / Telecomunicações / Telecomunicações; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2020-10-09,alta,confirmado
TIMS3,TIMS,Comunicações,Telecomunicações,Telecomunicações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TIMS; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-10-13,2026-07-27,alta,confirmado
TOTS3,TOTS,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TOTS; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
TRPL4,TRPL,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=TRPL; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2024-11-14,alta,confirmado
TTEN3,TTEN,Consumo não Cíclico,Agropecuária,Agricultura,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TTEN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-07-12,2026-07-27,alta,confirmado
TUPY3,TUPY,Bens Industriais,Material de Transporte,Material Rodoviário,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=TUPY; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
UGPA3,UGPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=UGPA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
UNIP6,UNIP,Materiais Básicos,Químicos,Químicos Diversos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=UNIP; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
USIM5,USIM,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=USIM; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
VALE3,VALE,Materiais Básicos,Mineração,Minerais Metálicos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=VALE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
VALE5,VALE,Materiais Básicos,Mineração,Minerais Metálicos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=VALE; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2017-11-24,alta,confirmado
VAMO3,VAMO,Consumo Cíclico,Diversos,Aluguel de carros,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=VAMO; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-01-29,2026-07-27,alta,confirmado
VBBR3,VBBR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Distribuição de Combustíveis,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=VBBR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-10-22,2026-07-27,alta,confirmado
VIIA3,VIIA,Consumo Cíclico,Comércio Varejista,Eletrodomésticos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=VIIA; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2021-08-16,2023-09-19,alta,confirmado
VIVA3,VIVA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=VIVA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2019-10-10,2026-07-27,alta,confirmado
VIVT3,VIVT,Comunicações,Telecomunicações,Telecomunicações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=VIVT; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
VIVT4,VIVT,Comunicações,Telecomunicações,Telecomunicações,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=VIVT; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2020-11-20,alta,confirmado
